Taxonomy,Phylum,Class,Order,Family,Genus,Species
Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus;uncultured,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,uncultured
Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter;metagenome,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,metagenome
Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;uncultured,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,uncultured,
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Harryflintia;Harryflintia,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,Harryflintia
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Harryflintia;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,uncultured
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Hydrogenoanaerobacterium,uncultured
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas;terrestrial,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,terrestrial
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter,uncultured
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pygmaiobacter;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pygmaiobacter,uncultured
Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophomonas;uncultured,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,uncultured
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Breznakia;uncultured,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Breznakia,uncultured
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;metagenome,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,metagenome
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;uncultured,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,uncultured
Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;unidentified,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,unidentified
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megamonas;uncultured,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,uncultured
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,
GQ906574.1.931,GQ906574.1.931,,,,,
HE856628.1.1029,HE856628.1.1029,,,,,
HE858592.1.1029,HE858592.1.1029,,,,,
HM040979.1.927,HM040979.1.927,,,,,
JN098613.1.982,JN098613.1.982,,,,,
JN098637.1.1027,JN098637.1.1027,,,,,
JQ245044.1.1052,JQ245044.1.1052,,,,,
JQ346750.1.1268,JQ346750.1.1268,,,,,
JQ595922.1.973,JQ595922.1.973,,,,,
JQ595923.1.973,JQ595923.1.973,,,,,
LWMU01000100.86.1560,LWMU01000100.86.1560,,,,,
Patescibacteria;Parcubacteria;32-520;uncultured,Patescibacteria,Parcubacteria,32-520,uncultured,,
Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;CL500-3;uncultured,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured
Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;uncultured;uncultured,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,uncultured
Proteobacteria,Proteobacteria,,,,,
Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;uncultured,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,uncultured
Proteobacteria;Alphaproteobacteria;Rhizobiales;Labraceae;Labrys;metagenome,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,metagenome
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;uncultured,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Phyllobacterium,uncultured
Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;marine,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,marine,
Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;marine,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,marine
Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;uncultured,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;SEEP-SRB4;uncultured,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,SEEP-SRB4,uncultured
Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrionaceae,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrionaceae
Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas
Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;uncultured,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,uncultured
Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter;Marinobacter,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,Marinobacter
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Herbaspirillum;Herbaspirillum,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Herbaspirillum,Herbaspirillum
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Noviherbaspirillum;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Noviherbaspirillum,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella;Enterobacteriaceae,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buttiauxella,Enterobacteriaceae
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella;Pantoea,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buttiauxella,Pantoea
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Dickeya,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Leclercia,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Leclercia
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Lelliottia,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Lelliottia
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Pantoea,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Pantoea
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Raoultella,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Raoultella
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;bacterium,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,bacterium
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Klebsiella,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Klebsiella
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;Enterobacter,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Enterobacter
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Kluyvera;Enterobacter,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera,Enterobacter
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Kluyvera;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Lelliottia;Enterobacter,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Lelliottia,Enterobacter
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;Enterobacteriaceae,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Enterobacteriaceae
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Plesiomonas;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pragia;Pragia,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pragia,Pragia
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia;Enterobacteriaceae,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Enterobacteriaceae
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;Klebsiella,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Klebsiella
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;Raoultella,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Raoultella
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;bacterium,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,bacterium
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Rosenbergiella;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Rosenbergiella,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;bacterium,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,bacterium
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;uncultured;Enterobacteriaceae,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,uncultured,Enterobacteriaceae
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;uncultured;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,uncultured,uncultured
Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;uncultured;uncultured,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,uncultured,uncultured
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lysobacter,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter
Synergistetes;Synergistia;Synergistales;Synergistaceae;Cloacibacillus;Synergistes,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Synergistes
Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma;Spiroplasma,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma
Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma
U55233.1.1343,U55233.1.1343,,,,,
U55234.1.1341,U55234.1.1341,,,,,
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;bacterium,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bacterium
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia;Asaccharobacter,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,Asaccharobacter
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter;Asaccharobacter,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Asaccharobacter,Asaccharobacter
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;Denitrobacterium,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,Denitrobacterium
Actinobacteria;Micrococcales;Dermatophilaceae;uncultured;uncultured,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,uncultured,uncultured
Actinobacteria;Propionibacteriales;Propionibacteriaceae;uncultured;uncultured,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,uncultured,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;M2PB4-61,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,M2PB4-61,
Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus
Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;uncultured,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured
Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;Luteibaculum;uncultured,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,Luteibaculum,uncultured
Bacteroidetes;Bacteroidia;Flavobacteriales;NS9,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9,,
Cyanobacteria;Melainabacteria;Gastranaerophilales;Candidatus,Cyanobacteria,Melainabacteria,Gastranaerophilales,Candidatus,,
Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Abiotrophia,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Abiotrophia
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;UC5-1-2E3;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,UC5-1-2E3,uncultured
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dielma;cf.,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma,cf.
GU820393.1.1200,GU820393.1.1200,,,,,
Patescibacteria;Parcubacteria;Candidatus,Patescibacteria,Parcubacteria,Candidatus,,,
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Alcaligenes;Alcaligenes,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Alcaligenes,Alcaligenes
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Hydrogenophaga;Hydrogenophaga,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,Hydrogenophaga
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Janthinobacterium;Janthinobacterium,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,Janthinobacterium
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia;Massilia,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,Massilia
Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;uncultured,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,uncultured
